#  Time     Vel  VelUpp  VelLow
#
# The original velocity profile was corrected at time=1251-1255s:
# velocity 1.6 was set to 0.0
#
 279.00   89.16   92.70   85.13
 280.00   89.48   93.34   85.94
 281.00   90.12   93.34   86.26
 282.00   90.12   93.34   86.58
 283.00   89.80   93.34   85.62
 284.00   88.84   93.02   84.49
 285.00   87.71   92.05   83.04
 286.00   86.26   90.93   81.27
 287.00   84.49   89.48   79.66
 288.00   82.88   87.71   79.66
 289.00   82.88   86.10   79.66
 290.00   82.88   86.10   79.02
 291.00   82.24   86.10   77.41
 292.00   80.63   85.46   77.25
 293.00   80.47   83.85   77.25
 294.00   80.63   83.85   77.25
 295.00   80.47   83.85   76.60
 296.00   79.82   83.69   76.44
 297.00   79.66   83.04   76.44
 298.00   79.66   82.88   76.44
 299.00   79.66   82.88   75.80
 300.00   79.02   82.88   75.00
 301.00   78.21   82.24   74.19
 302.00   77.41   81.43   72.74
 303.00   75.96   80.63   70.97
 304.00   74.19   79.18   69.20
 305.00   72.42   77.41   67.27
 306.00   70.49   75.64   65.34
 307.00   68.56   73.71   63.57
 308.00   66.79   71.78   61.64
 309.00   64.86   70.01   58.74
 310.00   61.96   68.08   56.33
 311.00   59.55   65.18   53.43
 312.00   56.65   62.76   51.18
 313.00   54.40   59.87   49.08
 314.00   52.30   57.61   47.48
 315.00   50.69   55.52   46.03
 316.00   49.25   53.91   45.87
 317.00   49.08   52.46   45.06
 318.00   48.28   52.30   43.45
 319.00   46.67   51.50   41.04
 320.00   44.26   49.89   36.69
 321.00   39.91   47.48   31.38
 322.00   34.60   43.13   29.13
 323.00   32.35   37.82   27.52
 324.00   30.74   35.57   26.55
 325.00   29.77   33.96   24.14
 326.00   27.36   32.99   21.73
 327.00   24.94   30.58   16.90
 328.00   20.12   28.16   14.16
 329.00   17.38   23.34    9.66
 330.00   12.87   20.60    4.35
 331.00    7.56   16.09   -0.97
 332.00    2.25   10.78   -3.22
 333.00    0.00    5.47   -3.22
 334.00    0.00    3.22   -3.22
 335.00    0.00    3.22   -3.22
 336.00    0.00    3.22   -3.22
 337.00    0.00    3.22   -3.22
 338.00    0.00    3.22   -3.22
 339.00    0.00    3.22   -3.22
 340.00    0.00    3.22   -3.22
 341.00    0.00    3.22   -3.22
 342.00    0.00    3.22   -3.22
