#Name	Car.Gen.vx_1	DM.Steer.Ang	Time
#Unit	m/s	rad	s
#nStates	0	0	0
	         11.708094	       0.025497783	         9.8400002
	         11.734259	       0.025551526	         9.8599997
	         11.760548	       0.025603425	         9.8800001
	         11.786957	       0.025653375	         9.8999996
	         11.813484	       0.025701366	         9.9200001
	         11.840126	       0.025747422	         9.9399996
	         11.866879	       0.025791572	              9.96
	         11.893742	       0.025833854	         9.9799995
	          11.92071	       0.025874307	                10
	          11.94778	       0.025912963	             10.02
	          11.97495	       0.025949858	             10.04
	         12.002215	       0.025985027	             10.06
	         12.029574	       0.026018508	             10.08
	         12.057023	       0.026050325	              10.1
	         12.084558	       0.026080517	             10.12
	         12.112177	       0.026109101	             10.14
	         12.139876	       0.026136091	             10.16
	         12.167654	       0.026161505	             10.18
	         12.195505	       0.026185343	              10.2
	          12.22343	       0.026207609	             10.22
	         12.251423	       0.026228113	             10.24
	         12.279484	       0.026246946	             10.26
	          12.30761	       0.026264351	             10.28
	         12.335799	       0.026280267	              10.3
	         12.364051	       0.026294768	             10.32
	         12.392363	       0.026307544	             10.34
	         12.420733	       0.026318319	             10.36
	         12.449162	       0.026327021	             10.38
	         12.477648	       0.026333643	              10.4
	         12.506189	       0.026338149	             10.42
	         12.534786	       0.026340486	             10.44
	         12.563436	       0.026340583	             10.46
	         12.592139	       0.026338365	             10.48
	         12.620893	        0.02633377	              10.5
	         12.649699	       0.026326736	             10.52
	         12.678555	       0.026317216	             10.54
	         12.707459	       0.026305178	             10.56
	         12.736411	       0.026290582	             10.58
	         12.765409	        0.02627339	              10.6
	         12.794454	        0.02625359	             10.62
	         12.823542	       0.026231157	             10.64
	         12.852673	       0.026206069	             10.66
	         12.881846	        0.02617831	             10.68
	          12.91106	       0.026147874	              10.7
	         12.940313	       0.026114754	             10.72
	         12.969604	       0.026078951	             10.74
	         12.998932	       0.026040457	             10.76
	         13.028295	       0.025999255	             10.78
	         13.057693	       0.025955291	              10.8
	         13.087122	       0.025908522	             10.82
	         13.116585	       0.025858918	             10.84
	         13.146077	       0.025806515	             10.86
	         13.175599	       0.025751373	             10.88
	         13.205151	       0.025693564	              10.9
	         13.234729	       0.025633123	             10.92
	         13.264334	       0.025570072	             10.94
	         13.293965	       0.025504418	             10.96
	         13.323621	       0.025436224	             10.98
	         13.353301	       0.025365552	                11
	         13.383005	        0.02529238	             11.02
	         13.412732	       0.025216581	             11.04
	         13.442482	          0.025138	             11.06
	         13.472253	       0.025056491	             11.08
	         13.502046	       0.024971975	              11.1
	         13.531859	       0.024884393	             11.12
